OperatorID,Name,SkillLevel,ExperienceYears
OP001,Alex B.,Beginner,0
OP002,Sam C.,Expert,10
OP003,Jordan D.,Beginner,2
OP004,Casey E.,Beginner,1
OP005,Riley F.,Intermediate,3
OP006,Morgan G.,Intermediate,6
OP007,Taylor H.,Intermediate,3
OP008,Jamie I.,Beginner,0
OP009,Dana J.,Beginner,2
OP010,Robin K.,Beginner,0
OP011,Chris L.,Intermediate,3
OP012,Pat M.,Beginner,2
OP013,Drew N.,Intermediate,3
OP014,Reese O.,Beginner,2
OP015,Skyler P.,Expert,9
OP016,Avery Q.,Expert,10
OP017,Quinn R.,Intermediate,6
OP018,Rowan S.,Intermediate,4
OP019,Sasha T.,Intermediate,6
OP020,Blair U.,Intermediate,6
